,Approach,Dataset,Iter,Trial,Test_Acc,"Test, Pre",Test_Re,Test_F1,Train_Acc,Train_Pre,Train_Re,Train_F1
0,3,Data_CIFAR10/DATA_CIFAR10,0,0,0.8,0.8,0.8,0.8,1.0,1.0,1.0,1.0
1,4,Data_CIFAR10/DATA_CIFAR10,0,0,0.77,0.77,0.77,0.77,1.0,1.0,1.0,1.0
2,3,Data_CIFAR10/DATA_CIFAR10,1,0,0.73,0.73,0.73,0.73,1.0,1.0,1.0,1.0
3,4,Data_CIFAR10/DATA_CIFAR10,1,0,0.78,0.78,0.78,0.78,1.0,1.0,1.0,1.0
4,3,Data_CIFAR10/DATA_CIFAR10,2,0,0.79,0.79,0.79,0.79,1.0,1.0,1.0,1.0
5,4,Data_CIFAR10/DATA_CIFAR10,2,0,0.8,0.8,0.8,0.8,1.0,1.0,1.0,1.0
6,3,Data_CIFAR10/DATA_CIFAR10,3,0,0.8,0.8,0.8,0.8,1.0,1.0,1.0,1.0
7,4,Data_CIFAR10/DATA_CIFAR10,3,0,0.76,0.76,0.76,0.76,1.0,1.0,1.0,1.0
8,3,Data_CIFAR10/DATA_CIFAR10,0,1,0.8,0.8,0.8,0.8,1.0,1.0,1.0,1.0
9,4,Data_CIFAR10/DATA_CIFAR10,0,1,0.78,0.78,0.78,0.78,0.99,0.99,0.99,0.99
